,pred_ADR,pred_C,pred_E,pred_EQ,pred_FALL,pred_I,pred_ME,pred_O,pred_SH,pred_SI,pred_T
true_ADR,126,11,8,0,0,2,14,2,0,1,0
true_C,11,680,166,12,7,0,73,24,0,1,4
true_E,6,53,4759,43,3,4,192,3,0,6,28
true_EQ,2,12,36,397,2,0,15,0,0,1,1
true_FALL,2,4,6,1,219,1,7,0,0,0,0
true_I,2,8,82,14,19,254,38,0,0,0,3
true_ME,3,13,180,15,0,1,1517,0,0,0,2
true_O,1,14,14,0,0,1,3,315,0,0,0
true_SH,0,0,1,0,0,0,0,0,0,0,0
true_SI,0,5,7,2,3,3,2,0,1,177,0
true_T,0,4,36,0,2,0,25,0,0,0,281
